127.0.0.1 - - [05/Nov/2020:10:39:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/ HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/resources/css/common/menubar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/resources/css/common/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/resources/images/%EC%97%AC%ED%96%89%ED%9B%84%EA%B8%B0%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/resources/images/%EB%A9%94%EC%9D%B8%EB%A1%9C%EA%B3%A0.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:35 +0900] "GET /reap/resources/images/%EC%97%AC%ED%96%89%EC%A7%80%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:36 +0900] "GET /reap/resources/images/%EC%97%AC%ED%96%89%EC%BD%94%EC%8A%A4%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:36 +0900] "GET /reap/resources/images/%ED%98%B8%ED%85%94%EC%95%84%EC%9D%B4%EC%BD%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:36 +0900] "GET /reap/resources/images/%EB%A9%94%EC%9D%B8%EB%B0%B0%EB%84%881.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:10:39:39 +0900] "GET /reap/reviewList.bo HTTP/1.1" 200 144
